DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2008-06-16	17401366	Gudmundsson J	2007-04-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17401366	Genome-wide association study identifies a second prostate cancer susceptibility variant at 8q24.	Prostate cancer	1,453 European ancestry cases, 3,064 European ancestry controls	1,210 European ancestry cases, 2,445 European ancestry controls, 373 African American cases, 372 African American controls	8q24.21	8;8;8;8;8;8;8;8;8;8;8;8;8;8	127081032;127115007;127072294;127063445;127069276;127068178;127125423;127081052;127081233;127075659;127110414;127071852;127080210;127104255	intergenic	CASC19; PRNCR1; PCAT1; CASC19; PCAT1; PCAT1; PCAT1; PCAT1; PCAT1; CASC19; PCAT1; CASC19; PCAT1; PRNCR1; CASC19; PRNCR1; PCAT1; CASC19; PCAT1; CASC19; PCAT1; PCAT1; CASC19; PCAT1; PRNCR1; CASC19; PCAT1						rs1031588-G; rs1456305-T; rs6994316-A; rs1456314-G; rs7825414-G; rs17831626-T; rs7816535-G; rs1016343-T; rs1551510-G; rs6470494-T; rs1378897-G; rs6993569-G; rs1016342-C; rs1456306-C	rs1031588; rs1456305; rs6994316; rs1456314; rs7825414; rs17831626; rs7816535; rs1016343; rs1551510; rs6470494; rs1378897; rs6993569; rs1016342; rs1456306	0		non_coding_transcript_exon_variant; intron_variant; intron_variant; intron_variant; intron_variant; intron_variant; intron_variant; non_coding_transcript_exon_variant; non_coding_transcript_exon_variant; intron_variant; intron_variant; intron_variant; non_coding_transcript_exon_variant; intron_variant		0.022	3E-15	14.5228787452803	(EA)	2.1	[1.75-2.53]	Illumina [316515]	N
2013-08-23	23583978	Monda KL	2013-04-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583978	A meta-analysis identifies new loci associated with body mass index in individuals of African ancestry.	Body mass index	37,956 African American individuals, 1,188 Nigerian ancestry individuals	27,661 African America/Afro-Caribbean individuals, 4,607 Sub-Saharan African ancestry individuals, 123,706 European ancestry inidividuals	7p15.2	7	25910925	NFE2L3, MIR148A	AC005165.1 - AC010719.1	ENSG00000223561	ENSG00000270933		159931	37732	rs10261878-C	rs10261878	0	10261878	intergenic_variant	1	0.94	1E-10	10		0.032	[0.022-0.042] unit increase	Affymetrix, Illumina [3283202] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	1p36.22	1	10521601	PEX14	PEX14			ENSG00000142655			rs2056417-A	rs2056417	0	2056417	intron_variant	0	0.3027	4E-07	6.39794000867204		0.0658	[0.041-0.091] unit decrease	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	2p25.1	2	8302118	ID2	LINC00299			ENSG00000236790			rs10174949-A	rs10174949	0	10174949	intron_variant	0	0.2728	1E-07	7		0.0703	[0.044-0.096] unit decrease	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	2q12.1	2	102263004	IL1RL1, IL1RL2	FAM183DP - IL1RL1	ENSG00000205716	ENSG00000115602		12749	48498	rs10189629-A	rs10189629	0	10189629	regulatory_region_variant	1	0.145	2E-16	15.698970004336		0.1448	[0.11-0.18] unit decrease	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	2q33.1	2	198049348	PLCL1	PLCL1			ENSG00000115896			rs10497813-G	rs10497813	0	10497813	intron_variant	0	0.4825	6E-10	9.22184874961636		0.0734	[0.050-0.097] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	3q28	3	188411191	LPP, BCL6	LPP			ENSG00000145012			rs9860547-A	rs9860547	0	9860547	intron_variant	0	0.4629	1E-09	9		0.0741	[0.050-0.098] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	4p14	4	38809930	TLR10, TLR1, TLR6	TLR1			ENSG00000174125			rs2101521-A	rs2101521	0	2101521	intron_variant	0	0.2384	5E-21	20.301029995664		0.1374	[0.11-0.17] unit decrease	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	4q27	4	122408207	ADAD1	ADAD1			ENSG00000164113			rs17388568-A	rs17388568	0	17388568	intron_variant	0	0.2748	4E-08	7.39794000867204		0.0727	[0.047-0.099] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	5p13.1	5	40486794	DAB2, PTGER4	AC114977.2, AC114977.1			ENSG00000285616, ENSG00000285552			rs7720838-G	rs7720838	0	7720838	intron_variant	0	0.4254	8E-11	10.0969100130081		0.0785	[0.055-0.102] unit decrease	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	5q22.1	5	111131801	TSLP, WDR36, CAMK4	WDR36 - AC010468.3	ENSG00000134987	ENSG00000250728		1299	23443	rs1438673-C	rs1438673	0	1438673	intergenic_variant	1	0.4951	2E-20	19.698970004336		0.1104	[0.087-0.134] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	5q23.2	5	123279830	intergenic	AC010493.1 - CEP120	ENSG00000213655	ENSG00000168944		43460	65055	rs6881280-G	rs6881280	0	6881280	intergenic_variant	1	0.0691	2E-06	5.69897000433602		0.1157	[0.068-0.164] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	5q31.1	5	132660272	intergenic	IL13, TH2LCRR			ENSG00000169194, ENSG00000223442			rs20541-A	rs20541	0	20541	missense_variant	0	0.2019	1E-06	6		0.0724	[0.043-0.101] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	6p21.33	6	31384336	MICA, HLA-C	HLA-S - AL645933.2	ENSG00000228179	ENSG00000272221		2048	9953	rs9266772-C	rs9266772	0	9266772	intergenic_variant	1	0.1882	3E-12	11.5228787452803		0.104	[0.075-0.133] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	6p21.32	6	32658534	HLA-DQB1, HLA-DQA1	HLA-DQA1 - HLA-DQB1	ENSG00000196735	ENSG00000231286		11472	933	rs6906021-C	rs6906021	0	6906021	regulatory_region_variant	1	0.4749	7E-15	14.1549019599857		0.0945	[0.071-0.118] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	6p21.31	6	33518955	intergenic	ZBTB9 - GGNBP1	ENSG00000213588	ENSG00000204188		61411	21091	rs6457730-A	rs6457730	0	6457730	intergenic_variant	1	0.0115	1E-06	6		0.275	[0.16-0.39] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	7p12.2	7	50214301	intergenic	AC020743.2			ENSG00000231681			rs17664743-A	rs17664743	0	17664743	intron_variant	0	0.2244	5E-06	5.30102999566398		0.0665	[0.038-0.095] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	8q21.13	8	80355920	ZBTB10, TPD52	AC034114.2			ENSG00000253238			rs6473223-T	rs6473223	0	6473223	intron_variant	0	0.3599	8E-08	7.09691001300806		0.0668	[0.042-0.091] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	9p24.1	9	6172380	RANBP6, IL33	AL162384.1 - GTF3AP1	ENSG00000228739	ENSG00000237274		105666	23554	rs7032572-G	rs7032572	0	7032572	regulatory_region_variant	1	0.1665	2E-09	8.69897000433602		0.1135	[0.077-0.15] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	10p13	10	13268071	intergenic	UCMA - PHYH	ENSG00000165623	ENSG00000107537		33697	9725	rs10796051-C	rs10796051	0	10796051	intergenic_variant	1	0.4488	7E-06	5.15490195998574		0.0532	[0.030-0.076] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	10q23.1	10	83493925	intergenic	MARK2P15 - LINC02650	ENSG00000234931	ENSG00000233945		179450	178481	rs1414874-A	rs1414874	0	1414874	intergenic_variant	1	0.0573	9E-06	5.04575749056068		0.1121	[0.063-0.161] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	11q13.5	11	76588150	LRRC32, C11orf30	EMSY - AP001189.2	ENSG00000158636	ENSG00000254755		35125	2873	rs2155219-T	rs2155219	0	2155219	intergenic_variant	1	0.5146	2E-19	18.698970004336		0.1081	[0.085-0.132] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	11q24.3	11	128316987	ETS1	LINC02098 - ETS1	ENSG00000272575	ENSG00000134954		75546	141774	rs10893845-T	rs10893845	0	10893845	regulatory_region_variant	1	0.5074	6E-07	6.22184874961636		0.059	[0.036-0.082] unit decrease	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	13q32.3	13	99122393	intergenic	DOCK9-DT - RPS6P23	ENSG00000260992	ENSG00000230871		33768	51200	rs11069349-A	rs11069349	0	11069349	regulatory_region_variant	1	0.2066	5E-06	5.30102999566398		0.0677	[0.039-0.097] unit decrease	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	14q13.1	14	33448832	intergenic	NPAS3			ENSG00000151322			rs11845867-C	rs11845867	0	11845867	intron_variant	0	0.2642	6E-06	5.22184874961636		0.0626	[0.036-0.090] unit increase	Illumina [2400000] (imputed)	N
